Repeticion,MALEZA,Diametro,Tamaño,Tipo,Lugar,Nombre,Aplicado,,Diámetro (CM),Tamaño (CM2),Aplicada,No Aplicada,n,% aplicado,% NO Aplicado,,Nombre,Aplicada,No Aplicada,n,% aplicado,% NO Aplicado,Diámetro promedio (cm),,Total aplicadas,Total No Aplicadas,n
3,9,,9,G,Surco,Maíz voluntario,0,,,,,,,,,,,,,,,,,,,,
3,10,,0,,,,,,,,,,,,,,,,,,,,,,,,
3,11,,0,HA,,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,12,,20,G,Surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
3,13,,7,G,Surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
3,14,15,176.63,G,Entre surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
3,15,10,78.5,G,Entre surco,Maíz voluntario,0,,,,,,,,,,,,,,,,,,,,
3,16,,0,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,17,,0,HA,Surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,18,,25,G,Entre surco,,1,,,,,,,,,,,,,,,,,,,,
3,19,30,706.5,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,20,30,706.5,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,21,50,1962.5,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,22,20,314,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,23,25,490.63,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
3,24,,25,HA,Surco,Conyza sp,1,,,,,,,,,,,,,,,,,,,,
3,25,10,78.5,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,26,15,176.63,HA,Surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,27,,25,G,Entre surco,Maíz voluntario,0,,,,,,,,,,,,,,,,,,,,
3,28,10,78.5,G,Surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
3,29,,25,G,Entre surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
